Brand,Current_Price,Discount,Original_Price,Product_Name
Burberry,257.6,30%,368.0,BE1386
Oakley,255.0,,,Base Plane
Ray-Ban,263.0,,,RB8766
Ray-Ban,188.0,,,RB5393
Kate Spade,255.0,,,Diandra
Ray-Ban,95.5,50%,191.0,RB5242
Gucci,488.75,15%,575.0,GG1290O
Guess,104.0,50%,208.0,GU2754
Ray-Ban,189.0,,,RB3751V
Versace,450.0,,,VE1305
Burberry,160.5,50%,321.0,BE1362 - Alma
Gucci,501.5,15%,590.0,GG1302O
Gucci,413.0,30%,590.0,GG0399O
Gucci,501.5,15%,590.0,GG1303O
Kate Spade,143.5,30%,205.0,Darcie
Kate Spade,250.0,,,Flavia
Oakley,187.0,,,Crosslink Zero
Persol,185.0,50%,370.0,PO3292V
Kate Spade,245.0,,,Ophelia/F
Gucci,446.25,15%,525.0,GG1509O
Ray-Ban,189.0,,,RB3732V
Guess,97.5,50%,195.0,GU2725
Dolce & Gabbana,176.0,50%,352.0,DG1338
Guess,113.5,50%,227.0,GU2880
Ray-Ban,176.0,,,RB7239
Kate Spade,245.0,,,Claudie/G
Kate Spade,161.0,30%,230.0,Payton
Kate Spade,245.0,,,Charlee
Dolce & Gabbana,335.0,,,DG3308
Burberry,137.5,50%,275.0,BE1343
Kate Spade,171.5,30%,245.0,Laurianne
Burberry,265.0,,,BE2201
Persol,200.2,30%,286.0,PO3296V
Burberry,296.0,,,BE2334 Elm
Oakley,270.9,30%,387.0,Deadbolt - Ahyris Collection
Oakley,242.0,,,Fuller
Gucci,425.0,15%,500.0,GG0718O
Kate Spade,240.0,,,Taya
Dolce & Gabbana,210.0,30%,300.0,DG3337
Ray-Ban,479.0,,,RB8247V
Ray-Ban,124.6,30%,178.0,RB7218 Kristin Optics Bio-Based
Versace,128.0,50%,256.0,VE3317F
Burberry,169.0,50%,338.0,BE2374
Burberry,154.5,50%,309.0,BE2365
Dolce & Gabbana,364.0,,,DG3398
Dolce & Gabbana,335.0,,,DG1360
Oakley,227.0,,,Hip Tone
Burberry,327.0,,,BE1348
Burberry,390.0,,,BE2423D
Persol,348.0,,,PO3339V
Ray-Ban,186.0,,,RB5446F
Ray-Ban,249.0,,,RB8783D
Dolce & Gabbana,158.0,50%,316.0,DG1348
Gucci,476.0,15%,560.0,GG0396O
Versace,376.0,,,VE1269
Kate Spade,245.0,,,TEMPERANCE
Kate Spade,245.0,,,Rainey
Dolce & Gabbana,393.0,,,DG3375B
Dolce & Gabbana,335.0,,,DG1359
Dolce & Gabbana,287.7,30%,411.0,DG5107
Dolce & Gabbana,259.7,30%,371.0,DG3359
Persol,393.0,,,PO3362V
Dolce & Gabbana,422.0,,,DG3405
Gucci,395.25,15%,465.0,GG1012O
Oakley,242.0,,,Plazlink
Ray-Ban,222.0,,,RB5586
Guess,96.0,50%,192.0,GU2935
Ray-Ban,222.0,,,RB3875V
Ray-Ban,210.0,,,RB5417 Optics
Ray-Ban,237.0,,,RB7255
Burberry,309.0,,,BE1352D
Kate Spade,240.0,,,Serenity/G
Kate Spade,240.0,,,Cailye
Burberry,390.0,,,BE1389
Oakley,227.0,,,Addams 0.5
Persol,333.0,,,PO3143V
Ray-Ban,276.0,,,RB8780D
Burberry,154.5,50%,309.0,BE1380
Gucci,416.5,15%,490.0,GG0566ON
Versace,298.0,,,VE3326U
Versace,263.2,30%,376.0,VE3346
Burberry,236.6,30%,338.0,BE1382D
Ray-Ban,147.0,30%,210.0,RB7215F
Versace,177.0,50%,354.0,VE3359
Guess,104.0,50%,208.0,GU2583
Oakley Youth,123.0,,,Top Level
Oakley,276.0,,,Bottle Rocket 4.0
Oakley,227.0,,,Cathode
Oakley,176.0,,,Admission (Low Bridge Fit)
Burberry,137.5,50%,275.0,BE2311
Gucci,259.25,15%,305.0,GG1580O
Dolce & Gabbana,144.0,50%,288.0,DG5102
Dolce & Gabbana,144.0,50%,288.0,DG3364F
Ray-Ban Junior,98.0,,,RY1598
Ray-Ban,222.0,,,RB5286
Versace,286.0,,,VE1275
Persol,342.0,,,PO3353V
Burberry,224.7,30%,321.0,BE1354 Martha
Gucci,314.5,15%,370.0,GG1729O
Oakley,172.0,,,Trillbe X
Versace,406.0,,,VE3354F
Oakley,242.0,,,BMNG
Dolce & Gabbana,259.7,30%,371.0,DG3379
Ray-Ban,226.0,50%,452.0,RB8265V
Kate Spade,245.0,,,Ninna/G
Gucci,200.0,50%,400.0,GG1212O
Oakley,318.0,,,Wingback Sq
Gucci,488.75,15%,575.0,GG1193O
Kate Spade,240.0,,,Luella
Guess,110.5,50%,221.0,GU2912
Versace,316.0,,,VE1304
Guess,113.5,50%,227.0,GU2874
Persol,171.0,50%,342.0,PO3189V
Burberry,327.0,,,BE2347 - Evelyn
Ray-Ban,210.0,,,RB5429
Oakley,255.0,,,Enigma Mass
Gucci,327.25,15%,385.0,GG1597O
Persol,348.0,,,PO3218V
Burberry,139.5,50%,279.0,BE2379U-Charlie
Versace,163.0,50%,326.0,VE3335
Guess,101.5,50%,203.0,GU50088-D
Burberry,146.5,50%,293.0,BE2332
Ray-Ban,176.0,,,RB7177
