Brand,Product_Name,Former_Price,Current_Price,Discount,Category
Ray-Ban,RB8416 Optics,$ 276.00,,,prescription eyeglasses and frames
Oakley,OX8046 Airdrop™,$ 227.00,,,prescription eyeglasses and frames
Tory Burch,TY2142U,$ 208.00,$ 145.60,-30%,prescription eyeglasses and frames
Versace,VE3328,$ 286.00,$ 200.20,-30%,prescription eyeglasses and frames
Coach,HC6232U,$ 210.00,$ 147.00,-30%,prescription eyeglasses and frames
Oakley,OX3036 Foil RQ,$ 172.00,,,prescription eyeglasses and frames
Ray-Ban,RB6489 Aviator Optics,$ 210.00,,,prescription eyeglasses and frames
Ray-Ban,RB7159 Optics,$ 222.00,,,prescription eyeglasses and frames
Armani Exchange,AX3108U,$ 132.00,$ 92.40,-30%,prescription eyeglasses and frames
Oakley,OX5080 Sway Bar 0.5,$ 387.00,,,prescription eyeglasses and frames
Tory Burch,TY2079,$ 247.00,$ 172.90,-30%,prescription eyeglasses and frames
Oakley,OX8139 Hstn,$ 187.00,,,prescription eyeglasses and frames
Ray-Ban,RB7330 Zena Optics Bio-based,$ 176.00,,,prescription eyeglasses and frames
Oakley,OX3184 TinCup™,$ 346.00,,,prescription eyeglasses and frames
Ray-Ban,RB5440 Optics,$ 189.00,,,prescription eyeglasses and frames
Versace,VE3350,$ 376.00,$ 263.20,-30%,prescription eyeglasses and frames
Ray-Ban,RB4340V Wayfarer Ease Optics Change,$ 268.00,,,prescription eyeglasses and frames
Ray-Ban,RB6375 Optics,$ 189.00,,,prescription eyeglasses and frames
Ray-Ban,RB1591 Optics Kids,$ 110.00,,,prescription eyeglasses and frames
Ray-Ban,RB7047 Optics,$ 176.00,,,prescription eyeglasses and frames
Ralph by Ralph Lauren,RA7069,$ 141.00,$ 98.70,-30%,prescription eyeglasses and frames
Ray-Ban,RB6510 Optics,$ 210.00,,,prescription eyeglasses and frames
Oakley,OX3218 Socket 5.5,$ 227.00,,,prescription eyeglasses and frames
Oakley,OX8060 Overhead,$ 172.00,,,prescription eyeglasses and frames
Ray-Ban,RB7258 Shea Optics Bio-Based,$ 176.00,,,prescription eyeglasses and frames
Oakley,OX5113 Lizard™,$ 318.00,,,prescription eyeglasses and frames
